,postal_code,State,City,CountyName,2016,2017,2018,2019,2020,2021
295,44130,OH,Parma Heights,Cuyahoga County,121726,129889,139420,144755,156476,181948
296,90025,CA,Los Angeles,Los Angeles County,877346,942122,1018704,1024548,1076741,1124261
297,20878,MD,Gaithersburg,Montgomery County,524966,537018,547523,552264,565921,624155
298,43228,OH,Columbus,Franklin County,107458,119225,128189,141268,155137,180367
299,30022,GA,Johns Creek,Fulton County,386411,404891,425659,430255,442624,514289
300,30004,GA,Milton,Fulton County,402896,423988,446273,455739,473827,558749
301,23666,VA,Hampton,Hampton City,173763,178571,180714,188746,200087,230263
302,85142,AZ,Queen Creek,Pinal County,269367,285153,309245,331708,368600,481758
303,98682,WA,Vancouver,Clark County,274992,301158,327085,340736,368694,439544
304,95035,CA,Milpitas,Santa Clara County,876255,956676,1143478,1072607,1119033,1286493
305,91710,CA,Chino,San Bernardino County,441824,465263,496200,504961,533796,639390
306,90011,CA,Los Angeles,Los Angeles County,338958,369832,409575,432230,481719,532176
307,23223,VA,Richmond,Richmond City,141655,155552,168259,181686,193762,221834
308,11218,NY,New York,Kings County,801613,874235,920506,974468,947644,966810
309,27713,NC,Durham,Durham County,223256,239149,258779,275272,288004,348751
310,77082,TX,Houston,Harris County,168900,176739,184044,190377,196387,224279
311,44077,OH,Painesville,Lake County,141759,147311,152495,161733,169928,192001
312,94544,CA,Hayward,Alameda County,543158,586545,664177,662474,692324,822554
313,43701,OH,Zanesville,Muskingum County,98480,102703,108301,115353,122457,137034
314,29730,SC,Rock Hill,York County,113296,122451,131505,141719,170502,220636
315,11223,NY,New York,Kings County,782557,845708,894840,914777,921836,974640
316,60622,IL,Chicago,Cook County,491888,507322,513183,504784,521912,552998
317,29464,SC,Mount Pleasant,Charleston County,448392,472153,489763,496141,510384,601353
318,60616,IL,Chicago,Cook County,326429,336885,344769,348940,353458,372413
319,27284,NC,Kernersville,Forsyth County,165482,172802,182498,192949,207502,244518
320,35242,AL,Hoover,Jefferson County,338142,346433,356586,368567,387838,434558
321,58103,ND,Fargo,Cass County,191844,194203,197914,198284,201295,216663
322,80015,CO,Aurora,Arapahoe County,354122,384526,410002,419202,438793,517470
323,20019,DC,Washington,District of Columbia,282146,306778,336982,376046,393298,424831
324,55901,MN,Rochester,Olmsted County,192387,208285,221897,232079,245628,273960
325,10021,NY,New York,New York County,1319876,1346376,1415087,1341554,1356541,1375745
326,80525,CO,Fort Collins,Larimer County,366315,394245,413292,426992,443325,509136
327,30127,GA,Powder Springs,Cobb County,185245,197818,213561,226443,241532,294920
328,97402,OR,Eugene,Lane County,211764,233756,257081,273436,299699,358334
329,33313,FL,Lauderhill,Broward County,78875,87392,96200,102780,110329,128591
330,71913,AR,Hot Springs,Garland County,145048,149927,154998,162258,175110,211326
331,90027,CA,Los Angeles,Los Angeles County,1276637,1354767,1472338,1477867,1588245,1750495
332,37064,TN,Franklin,Williamson County,411615,440848,464104,481530,506293,630652
