,postal_code,State,City,CountyName,2021
538,28655,NC,Morganton,Burke County,186529
539,92376,CA,Rialto,San Bernardino County,459511
540,43229,OH,Columbus,Franklin County,218761
541,95112,CA,San Jose,Santa Clara County,1012658
542,78253,TX,San Antonio,Bexar County,313949
543,85008,AZ,Phoenix,Maricopa County,324601
544,14094,NY,North Tonawanda,Niagara County,193658
545,28210,NC,Charlotte,Mecklenburg County,433633
546,45013,OH,Hamilton,Butler County,194286
547,45044,OH,Middletown,Butler County,187983
548,30083,GA,Stone Mountain,Dekalb County,211411
549,89103,NV,Las Vegas,Clark County,222912
550,32771,FL,Sanford,Seminole County,286370
551,12180,NY,Troy,Rensselaer County,223331
552,94080,CA,South San Francisco,San Mateo County,1238313
553,92648,CA,Huntington Beach,Orange County,1239075
554,92130,CA,San Diego,San Diego County,1595447
555,80016,CO,Aurora,Arapahoe County,689596
556,27265,NC,High Point,Guilford County,228548
557,92105,CA,San Diego,San Diego County,610025
558,33433,FL,Boca Raton,Palm Beach County,379434
559,84404,UT,Ogden,Weber County,372778
560,79424,TX,Lubbock,Lubbock County,254260
561,47150,IN,New Albany,Floyd County,187704
562,41042,KY,Florence,Boone County,218359
563,92122,CA,San Diego,San Diego County,936361
564,77373,TX,Spring,Harris County,203948
565,67401,KS,Salina,Saline County,149673
566,23455,VA,Virginia Beach,Virginia Beach City,358894
567,20910,MD,Silver Spring,Montgomery County,671109
568,29483,SC,Summerville,Dorchester County,289572
569,39759,MS,Starkville,Oktibbeha County,197092
570,85255,AZ,Scottsdale,Maricopa County,1001104
571,8759,NJ,Manchester Township,Ocean County,240906
572,2135,MA,Boston,Suffolk County,564734
573,95648,CA,Lincoln,Placer County,602254
574,19148,PA,Philadelphia,Philadelphia County,266855
575,22407,VA,Fredericksburg,Spotsylvania County,355916
576,29588,SC,Socastee,Horry County,241635
577,33015,FL,Country Club,Miami-Dade County,329974
578,11354,NY,New York,Queens County,672346
579,30047,GA,Lilburn,Gwinnett County,316086
580,48439,MI,Grand Blanc,Genesee County,238984
581,92563,CA,Murrieta,Riverside County,592803
582,77070,TX,Houston,Harris County,253755
583,27407,NC,Greensboro,Guilford County,186300
