,zip_code,city,state,latitude,longitude,review_count,rating,categories,price,delivery,pickup,restaurant_reservation,price_value_1.0,price_value_2.0,price_value_3.0,price_value_4.0
228,10001,New York,NY,40.749,-73.99028,37,4.5,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",2.0,1,1,0,0,1,0,0
229,11235,Brooklyn,NY,40.578002,-73.961013,229,4.0,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'ukrainian', 'title': 'Ukrainian'}]",2.0,1,1,0,0,1,0,0
230,11217,Brooklyn,NY,40.677216,-73.979754,110,4.5,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",0.0,0,0,0,0,0,0,0
231,10310,Staten Island,NY,40.630086,-74.108122,221,3.5,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}]",2.0,1,1,0,0,1,0,0
232,11204,Brooklyn,NY,40.62062,-73.98847,211,3.5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cantonese', 'title': 'Cantonese'}, {'alias': 'hkcafe', 'title': 'Hong Kong Style Cafe'}]",1.0,0,0,0,1,0,0,0
233,10301,West Brighton,NY,40.6306496,-74.1030273,327,3.5,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",2.0,1,1,0,0,1,0,0
234,07065,Rahway,NJ,40.6069772,-74.2746369,217,4.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bbq', 'title': 'Barbeque'}]",2.0,1,0,0,0,1,0,0
235,07078,Millburn,NJ,40.71996,-74.31933,40,4.0,"[{'alias': 'seafood', 'title': 'Seafood'}]",0.0,1,1,0,0,0,0,0
236,10301,Staten Island,NY,40.63717162832153,-74.07554823679692,10,4.5,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",0.0,1,1,0,0,0,0,0
237,10001,New York,NY,40.74587,-73.99265,256,4.0,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",2.0,1,1,0,0,1,0,0
238,11201,Brooklyn,NY,40.69316,-73.99871,16,5.0,"[{'alias': 'newamerican', 'title': 'American (New)'}]",0.0,0,0,0,0,0,0,0
239,11215,Brooklyn,NY,40.659,-73.98173,21,5.0,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",2.0,1,1,0,0,1,0,0
240,07030,Hoboken,NJ,40.73696,-74.03058,25,5.0,"[{'alias': 'greek', 'title': 'Greek'}]",0.0,1,1,0,0,0,0,0
241,11215,Brooklyn,NY,40.67519,-73.98116,190,4.0,"[{'alias': 'korean', 'title': 'Korean'}]",0.0,1,1,0,0,0,0,0
242,10011,New York,NY,40.7425547,-74.0060838,3330,4.5,"[{'alias': 'tacos', 'title': 'Tacos'}]",1.0,1,0,0,1,0,0,0
243,10013,New York,NY,40.715688,-74.007695,746,4.5,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'greek', 'title': 'Greek'}]",2.0,1,1,0,0,1,0,0
244,11217,Brooklyn,NY,40.6761199579391,-73.9745199680328,384,4.5,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]",2.0,1,1,0,0,1,0,0
245,10012,New York,NY,40.72728,-74.00252,622,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",2.0,1,1,0,0,1,0,0
246,11232,Brooklyn,NY,40.652309,-74.010406,101,4.5,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",0.0,1,1,0,0,0,0,0
247,07105,Newark,NJ,40.72153,-74.16088,10,4.5,"[{'alias': 'portuguese', 'title': 'Portuguese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",0.0,0,0,0,0,0,0,0
248,07030,Hoboken,NJ,40.736066251998736,-74.02880689096021,131,4.5,"[{'alias': 'indpak', 'title': 'Indian'}]",2.0,1,1,1,0,1,0,0
249,07302,Jersey City,NJ,40.72122,-74.04615,234,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'vegan', 'title': 'Vegan'}]",1.0,1,1,0,1,0,0,0
250,10312,Staten Island,NY,40.545066,-74.165969,120,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",2.0,1,1,0,0,1,0,0
251,10312,Staten Island,NY,40.540386,-74.177136,181,4.0,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'italian', 'title': 'Italian'}]",2.0,1,1,0,0,1,0,0
252,10312,Staten Island,NY,40.5401533517139,-74.1768767492621,13,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",0.0,1,1,0,0,0,0,0
253,10312,Staten Island,NY,40.5411691535097,-74.178395574531,148,4.5,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",2.0,1,1,0,0,1,0,0
254,10312,Staten Island,NY,40.54506,-74.16546,80,4.0,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",2.0,1,0,0,0,1,0,0
