,postal_code,state_id,state,city,county_name,2021,All_Residential,Multi_Family_homes,Condo/Co-op,Single_Family_Homes,Towmhomes
14263,53583,WI,Wisconsin,Sauk City,Sauk,282567.0,12,5,6,12,7
14264,80130,CO,Colorado,Littleton,Douglas,541151.0,12,0,12,12,12
14265,97850,OR,Oregon,La Grande,Union,250046.0,12,12,3,12,12
14266,43214,OH,Ohio,Columbus,Franklin,296116.0,12,8,12,12,0
14267,91210,CA,California,Glendale,Los Angeles,1005818.0,11,0,11,0,0
14268,12472,NY,New York,Rosendale,Ulster,352875.0,7,3,0,6,0
14269,12147,NY,New York,Rensselaerville,Albany,328109.0,11,2,0,10,0
14270,64064,MO,Missouri,Lees Summit,Jackson,285373.0,12,3,12,12,12
14271,92086,CA,California,Warner Springs,San Diego,527271.0,12,0,0,12,0
14272,4040,ME,Maine,Harrison,Cumberland,345002.0,12,1,0,12,0
14273,21120,MD,Maryland,Parkton,Baltimore,540104.0,12,0,0,12,0
14274,15410,PA,Pennsylvania,Adah,Fayette,234000.0,3,0,0,3,0
14275,13616,NY,New York,Calcium,Jefferson,173704.0,12,3,0,12,0
14276,74145,OK,Oklahoma,Tulsa,Tulsa,166693.0,12,12,9,12,3
14277,7082,NJ,New Jersey,Towaco,Morris,668812.0,12,0,0,12,0
14278,30054,GA,Georgia,Oxford,Newton,323451.0,12,0,0,12,0
14279,97021,OR,Oregon,Dufur,Wasco,364083.0,9,0,0,9,0
