,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
1488,11550,57639,89.2,34,9443,25782,273,951,0,18420,2770,18131
1492,11552,24908,102.9,38.8,14825,5713,24,1523,74,1988,761,7444
1496,11553,26054,93.3,35,9070,10883,455,441,0,3105,2100,6764
1500,11554,38029,94.4,41.3,25944,2428,150,4990,0,3503,1014,12846
1504,11556,0,0,0,0,0,0,0,0,0,0,0
1508,11557,7878,83.1,47.3,5943,601,0,659,0,636,39,2979
1512,11558,8465,132.7,42.1,7181,160,3,219,0,684,218,3031
1516,11559,8192,75.2,35.3,7080,103,50,201,0,758,0,2890
1520,11560,6669,86,45.7,6119,132,0,150,0,189,79,2588
1524,11561,37726,91.7,45.5,31242,2512,73,1287,0,1638,974,17793
1528,11563,21919,92.8,43.8,18101,881,186,677,0,1444,630,8378
1532,11565,8560,85.5,48.2,7199,455,7,390,0,165,344,3250
1536,11566,33331,100.7,43.1,30134,1108,44,1251,0,258,536,11622
1540,11568,4548,88.3,25.4,2937,461,3,817,0,86,244,1176
1544,11569,1117,126.6,55.7,1117,0,0,0,0,0,0,655
1548,11570,27234,94,42.5,21829,2915,0,734,0,1169,587,10741
1552,11572,29243,99,43.1,26399,550,275,779,0,777,463,10556
1556,11575,17180,95.6,34.1,2916,10079,502,152,0,2119,1412,4774
1560,11576,12374,90,47.8,9464,131,13,2176,0,430,160,4734
1564,11577,12513,89.8,43.3,9439,454,30,2130,0,331,129,4540
1568,11579,5214,94.5,48.8,4805,61,0,78,0,188,82,2097
1572,11580,42990,89.1,40.9,14375,14280,20,6217,16,6045,2037,13748
1576,11581,21794,95.2,39.3,11522,4532,9,2979,10,1946,796,7242
1580,11590,47245,93.1,40.1,21766,10499,16,4233,67,9336,1328,15015
1584,11596,10347,93.8,42,8098,164,14,1684,0,167,220,3550
1588,11598,14066,103.7,33.6,12835,654,0,319,0,217,41,4172
